Product_Name,Pricing,Rating
Apple iPhone X (Space Gray| 64 GB),Rs.69999,4.66
Apple iPhone 6s Plus (Space Grey| 32 GB),Rs.34900,4.54
Apple iPhone 6s (Space Grey| 32 GB),Rs.29799,4.525
Apple iPhone 6s (Gold| 32 GB),Rs.29799,4.515
Apple iPhone 6s (Rose Gold| 32 GB),Rs.29799,4.515
Apple iPhone XR (Black| 128 GB),Rs.64900,4.62
Apple iPhone XR (White| 64 GB),Rs.59900,4.62
Apple iPhone X (Silver| 64 GB),Rs.69999,4.66
Apple iPhone XR (Black| 64 GB),Rs.59900,4.62
Apple iPhone XR (White| 128 GB),Rs.64900,4.62
Apple iPhone 6s (Silver| 32 GB),Rs.29799,4.55
Apple iPhone XR ((PRODUCT)RED| 64 GB),Rs.59900,4.62
Apple iPhone XR ((PRODUCT)RED| 128 GB),Rs.65399,4.62
Apple iPhone 7 (Silver| 128 GB),Rs.48999,4.6473 Ratings & 73 Reviews
Apple iPhone XR (Blue| 64 GB),Rs.59900,4.62
Apple iPhone 8 (Gold| 64 GB),Rs.58999,4.62
Apple iPhone 8 Plus (Gold| 64 GB),Rs.68500,4.63
Apple iPhone 8 (Silver| 64 GB),Rs.58999,4.62
Apple iPhone 8 (Space Grey| 256 GB),Rs.70990,4.62
Apple iPhone XR (Coral| 128 GB),Rs.64900,4.62
Apple iPhone 6s Plus (Silver| 16 GB),Rs.39990,4.3429 Ratings & 56 Reviews
Apple iPhone 6 (Space Grey| 32 GB),Rs.27899,4.459
Apple iPhone 7 (Silver| 32 GB),Rs.39900,4.53
Apple iPhone 8 (Silver| 256 GB),Rs.68999,4.62
